plz,note,distance_km,lat,lon
37186,"37186 Moringen",44.8,51.7008,9.8636
38707,"38707 Altenau, Schulenberg",44.8,51.8312,10.4607
38527,"38527 Meine",45,52.3755,10.5709
29358,"29358 Eicklingen",45.1,52.5439,10.2099
38319,"38319 Remlingen",45.1,52.1136,10.6716
38835,"38835 Osterwieck",45.2,51.9863,10.6949
38173,"38173 Sickte, Dettum u.a.",45.3,52.1933,10.6767
38551,"38551 Ribbesbüttel",45.5,52.4257,10.4927
38667,"38667 Bad Harzburg, Torfhaus",45.5,51.8572,10.5718
38162,"38162 Cremlingen",46.1,52.2613,10.6689
31535,"31535 Neustadt am Rübenberge",46.3,52.5578,9.4725
31812,"31812 Bad Pyrmont",46.4,51.9660,9.3090
37671,"37671 Höxter",46.7,51.7685,9.3311
38531,"38531 Rötgesbüttel",46.7,52.4090,10.5138
38329,"38329 Wittmar",47,52.1278,10.6441
37191,"37191 Katlenburg-Lindau",47.7,51.6704,10.0927
38539,"38539 Müden (Aller)",47.9,52.5118,10.3830
29342,"29342 Wienhausen",48,52.5793,10.2111
31699,"31699 Beckedorf",48.2,52.3447,9.3122
38170,"38170 Schöppenstedt",48.4,52.1262,10.7773
29227,"29227 Celle",48.8,52.5901,10.1071
29313,"29313 Hambühren",49,52.6236,9.9374
38322,"38322 Hedeper",49,52.0660,10.6932
38327,"38327 Semmenstedt",49.1,52.0917,10.7000
31655,"31655 Stadthagen",49.2,52.3048,9.2285
31737,"31737 Rinteln",49.5,52.1601,9.0933
29225,"29225 Celle",49.8,52.6088,10.0211
37181,"37181 Hardegsen",49.8,51.6546,9.8265
38165,"38165 Lehre",49.8,52.3412,10.6841
